Date,Transaction,Name,Memo,Amount
1/3/2020,DEBIT,32534 - CITYVIEW PLAZA SAN JOSE,24299100002000185079130; 07523;,-12.25
1/3/2020,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
12/31/2019,DEBIT,CALIFORNIA CRAFT BEER FREMONT,24223699364030025898625; 05813;,-28.5
12/31/2019,DEBIT,SQ *IKES PLACE #7 L SAN LEAND,24492159364854314331421; 05499;,-13.08
12/30/2019,DEBIT,SHELL OIL 57444213904 MOUNTAIN V,24316059362548711039623; 05542;,-22.96
12/30/2019,DEBIT,EUREKA! MOUNTAIN VIEW MOUNTAIN V,24055239362200988401663; 05812;,-21
12/30/2019,DEBIT,Amazon.com*A99GZ6HK3 Amzn.com/b,24692169362100672300924; 05942;,-507.31
12/30/2019,DEBIT,TST* STEINS BEER GARDE MOUNTAIN,24137469362100193257022; 05812;,-31.12
12/30/2019,DEBIT,88 BAO BAO DUBLIN,24765019364091069000358; 05812;,-11.97
12/30/2019,DEBIT,SHIHLIN PLEASANTON PLEASANTO,24431069363091368000612; 05814;,-15.82
12/27/2019,DEBIT,UDEMY ONLINE COURSES HTTPSWWW.U,24492159360637721142000; 08299;,-11.99
12/27/2019,DEBIT,CKE*LA FORET SAN JOSE SAN JOSE,24445009360500065921535; 05812;,-440.69
12/26/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069358975012030933; 05411;,-12.77
12/26/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
12/24/2019,DEBIT,SHC ONLINE PAYMENT 800-54937,24755429357153571130032; 08062;,-133.83
12/23/2019,DEBIT,CMR_1 SANTA??CLA,24275399354900017078830; 05812;,-11.94
12/23/2019,DEBIT,EPC*EPIC GAMES STORE 919-854-0,24692169355100596663778; 05816;,-14.99
12/23/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
12/20/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
12/17/2019,DEBIT,PHO TRAN VU MOUNTAIN V,24327439350840801203473; 05812;,-20
12/17/2019,DEBIT,TM *EXCISION 800-653-8,24692169350100252326210; 07922;,-75.85
12/17/2019,DEBIT,INTEREST CHARGE ON PURCHASES,1; 00000;,-9.94
12/16/2019,DEBIT,WALGREENS #3344 PALO ALTO,24445009349000795067887; 05912;,-40.31
12/16/2019,DEBIT,LYFT *RIDE SAT 1PM lyft.com,24055239349400964408686; 04121;,-19.55
12/16/2019,DEBIT,CHABAA THAI CUSINE SAN FRANCI,24755429349643492850370; 05812;,-60
12/16/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179349002028756899; 05542;,-38.66
12/12/2019,DEBIT,UBER EATS HELP.UBER.,24492159346713705107902; 05812;,-19.42
12/10/2019,DEBIT,SPROUTS FARMERS MAR MOUNTAIN V,24427339343710007969956; 05411;,-6.06
12/10/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069343975011880872; 05411;,-13.4
12/9/2019,DEBIT,CMR_1 SANTA??CLA,24275399342900015854146; 05812;,-11.94
12/9/2019,DEBIT,KUNJIP SANTA CLA,24122479342900010200316; 05812;,-82.65
12/9/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339342740254469526; 05411;,-5.76
12/9/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399342001073029106; 05814;,-7.96
12/9/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
12/5/2019,DEBIT,STEAMGAMES.COM 4259522 425-88996,24204299339000527625853; 05816;,-39.99
12/3/2019,DEBIT,UDEMY ONLINE COURSES HTTPSWWW.U,24492159336637351266195; 08299;,-19.98
12/3/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
12/3/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
12/2/2019,DEBIT,ROSE & CROWN PUB PALO ALTO,24269799335600381069489; 05812;,-30
12/2/2019,DEBIT,ROSE & CROWN PUB PALO ALTO,24269799335600381069554; 05812;,-32
12/2/2019,DEBIT,PIZZA MY HEART - UNIVE PALO ALTO,24269799335600381069638; 05812;,-10.9
12/2/2019,DEBIT,PIAZZA'S FINE FOODS PALO ALTO,24427339335740245702109; 05411;,-6.99
12/2/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399335000089317561; 05814;,-5.18
12/2/2019,DEBIT,GOOGLE *Google Play g.co/helpp,24692169336100336339170; 05818;,-17.2
12/2/2019,DEBIT,H MART - DE ANZA SAN JOSE,24231689334837000067994; 05411;,-111.51
12/2/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179333004018953567; 05542;,-27.27
11/26/2019,DEBIT,SQ *FALAFEL STOP SUNNYVALE,24492159329740274422884; 05812;,-13.1
11/26/2019,DEBIT,TST* TACOLICIOUS - PAL PALO ALTO,24137469329100187143446; 05812;,-62.17
11/25/2019,DEBIT,VALERO OF SARATOGA SAN JOSE,24427339327120001848026; 05542;,-20.09
11/25/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339327740258960628; 05411;,-10.58
11/25/2019,DEBIT,SQ *SHAKE SHACK PALO ALTO,24492159327740334329790; 05812;,-18.72
11/25/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339328740255497813; 05411;,-1.58
11/25/2019,DEBIT,GameStop 817-422-2,24445009329600063702521; 07993;,-44.99
11/25/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
11/22/2019,DEBIT,STARBUCKS STORE 09224 SAN FRANCI,24692169325100513180556; 05814;,-3.45
11/22/2019,DEBIT,LYFT *RIDE WED 2PM lyft.com,24055239325400961915442; 04121;,-13.94
11/21/2019,DEBIT,PIAZZA'S FINE FOODS PALO ALTO,24427339324740253774043; 05411;,-6.99
11/21/2019,DEBIT,LYFT *RIDE WED 8AM lyft.com,24055239324400960394996; 04121;,-14.46
11/20/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
11/19/2019,DEBIT,CHIPOTLE 0801 MOUNTAIN V,24431069323400233002647; 05814;,-17.11
11/19/2019,DEBIT,LYFT *RIDE SUN 6AM lyft.com,24055239322400968611963; 04121;,-27.26
11/19/2019,DEBIT,INTEREST CHARGE ON PURCHASES,1; 00000;,-12.27
11/18/2019,DEBIT,CVS/PHARMACY #02396 LOS ANGEL,24137469321001209848368; 05912;,-24.29
11/18/2019,DEBIT,LYFT *RIDE FRI 10PM lyft.com,24055239320400966948906; 04121;,-24.83
11/18/2019,DEBIT,CHIPOTLE 0801 MOUNTAIN V,24431069320400230002049; 05814;,-8.56
11/18/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
11/14/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069317975011621864; 05411;,-17.35
11/14/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179317001778818899; 05542;,-21.25
11/12/2019,DEBIT,TACOS EL GORDO LAS VEGAS,24744559315560001362101; 05812;,-63
11/12/2019,DEBIT,CHICA LAS VEGAS,24428069314100558688881; 05812;,-108.43
11/12/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399312001149988620; 05814;,-16.4
11/4/2019,DEBIT,CKE*IKE'S LOVE AND SAN MOUNTAIN,24445009307000649240615; 05812;,-13.35
11/4/2019,DEBIT,TST* OLD PRO PALO ALTO,24137469306100172503403; 05812;,-185.86
11/4/2019,DEBIT,GOOGLE *Google Play g.co/helpp,24692169306100865643956; 07829;,-19.41
11/4/2019,DEBIT,WALGREENS #3344 PALO ALTO,24445009308000611514376; 05912;,-13.07
11/4/2019,DEBIT,GOOGLE *Play g.co/helpp,24692169305100402839753; 05818;,-5.54
11/4/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179305000033870160; 05542;,-24.74
10/29/2019,DEBIT,AMZN Mktp US*ED9YD3PG3 Amzn.com/,24692169301100876137043; 05942;,-23.41
10/28/2019,DEBIT,TSUJITA LA ARTISAN NOO LOS ANGEL,24269799299500821669894; 05814;,-76
10/28/2019,DEBIT,CVS/PHARMACY #02396 LOS ANGEL,24137469301001061461866; 05912;,-15.87
10/28/2019,DEBIT,LYFT *RIDE FRI 11AM lyft.com,24055239299400964337299; 04121;,-28.97
10/28/2019,DEBIT,SQ *HONEYBIRD Los Angel,24692169298100101764616; 05812;,-18.89
10/28/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
10/25/2019,DEBIT,COUNTER MOUNTAIN VIEW MOUNTAIN V,24765019297200232040231; 05812;,-27
10/24/2019,DEBIT,SHC ONLINE PAYMENT 800-54937,24755429296162960970944; 08062;,-132.46
10/24/2019,DEBIT,UDEMY ONLINE COURSES HTTPSWWW.U,24492159296637102752558; 08299;,-23.98
10/22/2019,DEBIT,LYFT *RIDE SUN 1AM lyft.com,24055239294400960404999; 04121;,-35.5
10/22/2019,DEBIT,GOOGLE *Google Play g.co/helpp,24692169295100814335806; 05818;,-15
10/21/2019,DEBIT,DIDDAMS MOUNTAIN V,24622759293500944272214; 05945;,-11.97
10/21/2019,DEBIT,UDEMY ONLINE COURSES HTTPSWWW.U,24492159293637946436437; 08299;,-19.99
10/21/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179291002458906012; 05542;,-20.88
10/21/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,150
10/21/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,200
10/21/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,200
10/17/2019,DEBIT,INTEREST CHARGE ON PURCHASES,1; 00000;,-8
10/16/2019,DEBIT,SQ *TEASPOON MOUNTAIN V,24492159288740320988770; 05812;,-5.25
10/16/2019,DEBIT,PHO TO CHAU 999 INC MOUNTAIN V,24377359289000002753421; 05812;,-28
10/16/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
10/15/2019,DEBIT,0447 AMC MERCADO 20 SANTA CLA,24431069288018049634354; 07832;,-13.19
10/15/2019,DEBIT,UBER TRIP HELP.UBER.,24492159285713377079788; 04121;,-13.57
10/15/2019,DEBIT,UBER TRIP HELP.UBER.,24492159285719395289085; 04121;,-14.4
10/15/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179285001636008236; 05542;,-16.8
10/15/2019,DEBIT,CAULDRON ICE CREAM - S SAN JOSE,24269799286100343716409; 05814;,-6.54
10/9/2019,DEBIT,TICKETSATWORK.COM 800-331-6,24692169281100590154914; 07922;,-199.31
10/9/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
10/8/2019,DEBIT,ALASKA AI0272142923375 SEATTLE,24431069280036429233751; 03256; MAN/ALEX; 10/25/2019 SAN JOSE TO LOS ANGELES LOS ANGELES TO SAN JOSE,-154.59
10/8/2019,DEBIT,SHELL OIL 57444213904 MOUNTAIN V,24316059280548655016669; 05542;,-22.69
10/7/2019,DEBIT,CKE*IKE'S LOVE AND SAN MOUNTAIN,24445009280000605424386; 05812;,-13.35
10/4/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
10/2/2019,DEBIT,SHELL OIL 57444213508 SANTA CLA,24316059274548717017539; 05542;,-13.33
10/1/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,100
9/30/2019,DEBIT,CKE*IKE'S LOVE AND SAN MOUNTAIN,24445009272000633604082; 05812;,-13.35
9/30/2019,DEBIT,CNK*CINEMARK.COM 399 800-246-3,24692169271100890732767; 07832;,-67.8
9/30/2019,DEBIT,PHO TRAN VU MOUNTAIN V,24327439272365202839431; 05812;,-35
9/30/2019,DEBIT,SQ *ZAREEN'S RESTAU PALO ALTO,24492159272740277791399; 05814;,-13.49
9/30/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179270003536931134; 05542;,-24.74
9/30/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
9/26/2019,DEBIT,SQ *TEASPOON SNOW C LOS ALTOS,24492159269740297073641; 05814;,-5
9/23/2019,DEBIT,ATI PHYSICAL THERAP 630-296-2,24492159266693845802164; 08099;,-76.33
9/23/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399265002953131403; 05814;,-10.9
9/23/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179263002585913927; 05542;,-28.27
9/23/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
9/23/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
9/20/2019,DEBIT,SHC ONLINE PAYMENT 800-54937,24755429262162623382016; 08062;,-100
9/20/2019,DEBIT,WALGREENS #3344 PALO ALTO,24445009263000653901898; 05912;,-23.41
9/20/2019,DEBIT,PIAZZA'S FINE FOODS PALO ALTO,24427339262740254655666; 05411;,-19.98
9/20/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339262740259684356; 05411;,-16.97
9/19/2019,DEBIT,CHIPOTLE 0801 MOUNTAIN V,24431069261200288403615; 05814;,-17.11
9/19/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,200
9/16/2019,DEBIT,PALO ALTO CREAMERY PALO ALTO,24327439258279003813834; 05812;,-63
9/16/2019,DEBIT,LA VICTORIA NO 2 SAN JOSE,24428069258100615219017; 05814;,-10.32
9/16/2019,DEBIT,UBER TRIP HELP.UBER.,24492159258717596944154; 04121;,-25.61
9/16/2019,DEBIT,SQ *BOBA GUYS PALO ALT Palo Alto,24692169258100302271831; 05812;,-12
9/16/2019,DEBIT,TEMPLE BAR & LOUNGE SAN JOSE,24692169258100142268591; 05812;,-30
9/16/2019,DEBIT,DRI*2k Store 952-90840,24906419256079483058691; 05734;,-59.99
9/13/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
9/12/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339254740256995375; 05411;,-1.49
9/12/2019,DEBIT,99 RANCH #1772 MOUNTAIN V,24427339254740259444934; 05411;,-11.67
9/11/2019,DEBIT,SOUTHWES 5262118459522 800-435-9,24692169253100172397349; 03066; MAN/ALEX; 11/08/2019 SAN JOSE TO BURBANK,-58.98
9/11/2019,DEBIT,SOUTHWES 5262118459751 800-435-9,24692169253100172397356; 03066; MAN/ALEX; 11/10/2019 LAS VEGAS TO SAN JOSE,-254.98
9/10/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069252975010971226; 05411;,-19.42
9/10/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429252732526037255; 08062;,-200
9/9/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429250172500361094; 08062;,-200
9/9/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399250000905107742; 05814;,-11.94
9/9/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339251740253795045; 05411;,-8.74
9/9/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
9/6/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429248162483874119; 08062;,-100
9/6/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
9/4/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,200
9/4/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
9/3/2019,DEBIT,PURE NIGHTCLUB SV WWW.PURENI,24492159245637417277038; 07922;,-16.79
9/3/2019,DEBIT,IN N OUT BURGER 119 LOS ANGEL,24013399243004271114423; 05814;,-9.2
9/3/2019,DEBIT,LYFT *RIDE SAT 10AM lyft.com,24055239244400960679682; 04121;,-6.08
9/3/2019,DEBIT,CHEVRON 0093100 LOS ANGEL,24692169243100692253546; 05541;,-2.89
8/30/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179241003966231662; 05542;,-30.85
8/26/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069237975010820316; 05411;,-26.28
8/26/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429237152376045359; 08062;,-72.04
8/26/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429237152376047009; 08062;,-70.3
8/26/2019,DEBIT,POPEYES 12188 SANTA CLA,24231689236400000103647; 05814;,-8.72
8/26/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,100
8/22/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,150
8/20/2019,DEBIT,TEA ERA CAFE 408-99698,24100859231900019230911; 05812;,-9.72
8/19/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179229002356539441; 05542;,-20.5
8/19/2019,DEBIT,NOLA PALO ALTO,24493989229400154171438; 05812;,-39
8/19/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399230002513044304; 05814;,-11.77
8/19/2019,DEBIT,TST* TAISHOKEN RAMEN SAN MATEO,24137469228100172609270; 05812;,-57
8/14/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,100
8/13/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429224732249544582; 08062;,-100
8/13/2019,DEBIT,TM *TICKETMASTER TICKT 415-421-8,24692169224100231482203; 07922;,-53.65
8/12/2019,DEBIT,SHELL OIL 10008285008 SAN JOSE,24316059222548248020237; 05542;,-35.57
8/12/2019,DEBIT,TST* WEDOS TACOS MONTEREY,24137469223600167254045; 05812;,-10.88
8/12/2019,DEBIT,TZONE MONTEREY,24493989223400027000893; 05814;,-4.25
8/12/2019,DEBIT,SWEETHONEY DESSERT MILPITAS,24688089221030020474088; 05812;,-24
8/12/2019,CREDIT,PAYMENT THANK YOU,WEB FUTURE; 00000;,200
8/8/2019,DEBIT,CVS/PHARMACY #09984 PALO ALTO,24137469220001198929254; 05912;,-11.76
8/8/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
8/6/2019,DEBIT,TEA TOP SANTA CLARA SANTA CLA,24091629217017035371151; 05499;,-5.4
8/6/2019,DEBIT,CHIPOTLE 0801 MOUNTAIN V,24431069217200288400095; 05814;,-8.56
8/6/2019,DEBIT,SHC ONLINE PAYMENT PALO ALTO,24755429217152171155274; 08062;,-163.53
8/5/2019,DEBIT,BASKIN #360098 Q35 PALO ALTO,24431069216838000604162; 05814;,-3.79
8/1/2019,DEBIT,SOUTHWES 5262103826384 800-435-9,24692169212100981906058; 03066; MAN/ALEX; 11/15/2019 SAN JOSE TO LOS ANGELES LOS ANGELES TO SAN JOSE,-171.96
8/1/2019,DEBIT,AXS.COM*LOS ANGELES 888-929-7,24692169212100056680299; 07922;,-45.22
7/30/2019,DEBIT,SHELL OIL 57444212906 SANTA CLA,24316059210548685037680; 05542;,-29.49
7/30/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069210975010550666; 05411;,-27.44
7/30/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,200
7/29/2019,DEBIT,LYFT *RIDE FRI 11PM lyft.com,24055239209400964471741; 04121;,-13.87
7/29/2019,DEBIT,TST* ZZAMONG CHINESE C LOS ANGEL,24137469208200197285405; 05812;,-39
7/29/2019,DEBIT,IN N OUT BURGER 174 GLENDALE,24013399209003722100116; 05814;,-8.88
7/29/2019,DEBIT,CVS/PHARMACY #09787 GLENDALE,24137469210001062247447; 05912;,-3.7
7/29/2019,DEBIT,UBER TRIP HELP.UBER.,24492159209713488877537; 04121;,-40.16
7/25/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000;,100
7/22/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399202002765970267; 05814;,-12.48
7/22/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399200002486197648; 05814;,-10.9
7/22/2019,DEBIT,UZUMAKIYA CUPERTINO,24269799201000966877102; 05812;,-67.04
7/22/2019,DEBIT,85C BAKERY CAFE USA SAN JOSE,24231689200400108003246; 05814;,-17.89
7/18/2019,DEBIT,CHIPOTLE 0801 MOUNTAIN V,24431069198200288403597; 05814;,-8.56
7/17/2019,DEBIT,SPROUTS FARMERS MAR MOUNTAIN V,24427339197710030130771; 05411; 0715;,-24.51
7/17/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179197002054148824; 05542; 0715;,-44.65
7/15/2019,DEBIT,CVS/PHARMACY #09984 PALO ALTO,24137469195001095312365; 05912; 0715;,-20.7
7/15/2019,DEBIT,RAMEN NAGI PALO ALTO,24342859195017056586402; 05812; 0715;,-38
7/15/2019,DEBIT,HAPPY LEMON CUPERTINO,24013399195001755769456; 05812; 0715;,-9.75
7/15/2019,DEBIT,SQ *BOBA GUYS PALO ALT Palo Alto,24692169195100511285263; 05812; 0715;,-12
7/15/2019,DEBIT,MCDONALD'S F1528 MOUNTAIN V,24427339195710053205775; 05814; 0715;,-36.94
7/15/2019,DEBIT,AMZN Mktp US*MH8NW2D01 Amzn.com/,24692169193100066466252; 05942; 0715;,-38.17
7/12/2019,DEBIT,WALGREENS #3344 PALO ALTO,24445009193000661624396; 05912; 0715;,-13.07
7/9/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000; 0715;,200
7/8/2019,DEBIT,MEN OH RAMEN SANTA CLA,24428069188001124976565; 05814; 0715;,-14.06
7/8/2019,DEBIT,GROCERY OUTLET OF P PALO ALTO,24427339187740253576196; 05411; 0715;,-6.87
7/8/2019,DEBIT,SAFEWAY #2948 MOUNTAIN V,24431069188975010403393; 05411; 0715;,-32.77
7/8/2019,DEBIT,76 - SEI 37997 PALO ALTO,24015179186000631508166; 05542; 0715;,-27.3
7/8/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000; 0715;,300
7/5/2019,DEBIT,SQ *AROMA CONCESSIONS SAN JOSE,24692169185100472900027; 05814; 0715;,-16
7/5/2019,DEBIT,IN N OUT BURGER 129 MOUNTAIN V,24013399185000500502248; 05814; 0715;,-10.9
7/5/2019,CREDIT,PAYMENT THANK YOU,INTERNET; 00000; 0715;,300
7/3/2019,DEBIT,SHELL OIL 57444212906 SANTA CLA,24316059183548736000821; 05542; 0715;,-25.85
7/3/2019,DEBIT,WALGREENS #3344 PALO ALTO,24445009184000619339338; 05912; 0715;,-0.17
7/2/2019,DEBIT,CKE*IKE S LAIR CUPER 2 CUPERTINO,24445009183000619325056; 05812; 0715;,-12.77
7/2/2019,DEBIT,SILICON VALLEY OPTOMET CUPERTINO,24755429182271820749062; 08042; 0715;,-340
